docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
dul1.ark+=13960=t3dz14r97,"Bayfield, E. G",1807.0,v.1,1.0,0.0839953950599686,enk,unknown,312,Fiction
mdp.39015063976966,"Strutt, Joseph",1808.0,v.1,1.0,0.1341819085042787,stk,m,278,Fiction
uc2.ark+=13960=t7xk8888r,"Strutt, Joseph",1808.0,v.2,2.0,0.0,stk,m,264,Fiction
mdp.39015073763644,"Knight, Ellis Cornelia",1808.0,v.1,1.0,0.694003710921572,enk,m,338,Fiction
mdp.39015064001236,,1808.0,v.1,1.0,0.0350362058791789,enk,unknown,306,Fiction
mdp.39015067084635,"novelist. Sedley, Charles",1808.0,v.1,1.0,0.6180880831774478,enk,m,214,Fiction
hvd.hwkd81,"Lewis, M. G. (Matthew Gregory)",1808.0,v.1-2,1.0,0.0,enk,m,672,Fiction
uiuo.ark+=13960=t3st83j7v,"Lewis, M. G. (Matthew Gregory)",1808.0,v.2,2.0,0.0,enk,m,354,Fiction
nyp.33433074874284,"Lewis, M. G. (Matthew Gregory)",1808.0,v. 3,3.0,0.3315419343063608,enk,m,300,Fiction
uiuo.ark+=13960=t2b85s51b,"Lewis, M. G. (Matthew Gregory)",1808.0,v.4,4.0,0.0,enk,m,338,Fiction
uiuo.ark+=13960=t3417b08v,"Dallas, Robert Charles",1808.0,v.1,1.0,0.0,enk,m,308,Fiction
nyp.33433074951652,"Dallas, Robert Charles",1808.0,v. 2,2.0,0.0,enk,m,294,Fiction
nyp.33433074910211,"Moore, George",1808.0,v. 1,1.0,0.0857845721416947,enk,m,446,Fiction
uiuo.ark+=13960=t22b9mp83,Gunning,1808.0,v.1,1.0,0.3324609409048012,enk,unknown,306,Fiction
uiuo.ark+=13960=t3st87x1j,Warner,1808.0,v.1,1.0,0.0,enk,m,240,Fiction
uiuo.ark+=13960=t5v705989,"Hook, Theodore Edward",1808.0,v.1,1.0,0.0,enk,m,280,Fiction
uiuo.ark+=13960=t5k93r938,"Moore, George",1808.0,v.1,1.0,0.080688226291527,enk,m,444,Fiction
uiuo.ark+=13960=t04x5xf7m,"Sedley, Charles",1808.0,v.1,1.0,0.2926389792037668,enk,m,262,Fiction
njp.32101067174381,"Sedley, Charles, Sir",1808.0,,,0.3965824197646194,enk,m,744,Fiction
njp.32101064790130,"St. John, Andrew",1808.0,vol. 1,1.0,0.3123665563192512,enk,m,356,Fiction
njp.32101067634392,"Hamilton, Elizabeth",1808.0,,,0.1649051597989561,stk,f,436,Fiction
njp.32101069157459,"Madame Cottin, (Sophie)",1808.0,v.1,1.0,0.342128281338175,enk,f,218,Fiction
hvd.hn2gie,"Mackenzie, William",1808.0,,,0.345925083058662,enk,m,206,Fiction
mdp.39015053654920,"Edgeworth, Maria",1809.0,v.1,1.0,0.1282828073197662,enk,f,442,Fiction
