docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category
nyp.33433074961628,"Openshaw, Mary","Openshaw, Mary",,1911.0,1911.0,s,1911,    ,"Boston;Small, Maynard & company;c1911",1911,,,,,PZ3.O6l38L,6498139.0,enk,8666365,1,1.0,1.0,,,"The loser pays; | a story of the French revolution, | $c: by Mary Openshaw.",,True,The loser pays; a story of the French revolution,0.1835423863183461,0.2229502215794005,Mary,f,17.555873925501434,47.3242420012972,32.88285714285714,35.73199183673469,335.2342857142857,4608.670824489795,2.3,['fiction'],['fiction and juvenile belles lettres']
nyp.33433074873021,"Lambert, Frederick Arthur Heygate","Lambert, Frederick Arthur Heygate",1857-,1911.0,1911.0,s,1911,    ,"London [etc.;Longmans, Green and Co.;1911.",1911,,,English fiction,,,37264048.0,enk,8669049,1,1.0,1.0,,,"John Merridew; | a romance, | $c: by Frederick Arthur [pseud.]",,True,John Merridew; a romance,0.1024999243317833,0.0282883751018872,Frederick,m,15.447368421052632,47.89050477069868,27.937142857142856,37.73319183673469,274.16857142857145,4534.99158367347,1.4,['fiction'],['unknown']
uiuo.ark+=13960=t2g73bf63,"Keller, Gottfried","Keller, Gottfried",1819-1890.,1911.0,1890.0,s,1911,    ,London;Glasgow;Gowans & Gray;1911.,1911,,,,,,3094575.0,enk,8723193,1,1.0,1.0,,,Seven legends,,True,Seven legends,0.2869496953738316,0.2925760635325892,Gottfried,m,10.440677966101696,14.704108014938235,33.858333333333334,49.67159722222221,287.2,6928.81,3.1,['fiction'],['unknown']
njp.32101013656531,"Mrs., Ward, Humphry","Ward, Mary Augusta",1851-1920.,1911.0,1911.0,m,1911,1912,"London;John Murray;1911-1912;(Cambridge, Massachussetts;Riverside Press)",1911-1912,"Westmoreland ed.|v. 1.-2. Robert Elsmere. -v. 3.-4. The history of David Grieve. - v. 5.-6. Marcella. -v. 7. Sir George Tressady. -v. 8. Sir George Tressady, Miss Bretherton. -v. 9. Helbeck of Bannisdale. -v. 10. Eleanor. -v. 11. Lady Rose's daughter. -v. 12. The marriage of William Ashe. -v. 13. Fenwick's career. The story of Bessie Costrell. -v. 14. Diana Mallory. -v. 15. Daphne. Candian born. -v. 16. The case of Richard Meynell.",,,,,31232580.0,enk,8884082,1,1.0,1.0,v.1,1.0,The writings of Mrs. Humphry Ward.,,True,,0.2605513289909392,0.0211119787290959,Mary,f,14.81184668989547,30.358326554893225,30.760611205432937,51.87987466887274,308.0237691001698,6244.997737237008,1.7,['unknown'],['unknown']
njp.32101021618648,"Mrs., Ward, Humphry","Ward, Mary Augusta",1851-1920.,1911.0,1911.0,m,1911,1912,"London;John Murray;1911-1912;(Cambridge, Massachussetts;Riverside Press)",1911-1912,"Westmoreland ed.|v. 1.-2. Robert Elsmere. -v. 3.-4. The history of David Grieve. - v. 5.-6. Marcella. -v. 7. Sir George Tressady. -v. 8. Sir George Tressady, Miss Bretherton. -v. 9. Helbeck of Bannisdale. -v. 10. Eleanor. -v. 11. Lady Rose's daughter. -v. 12. The marriage of William Ashe. -v. 13. Fenwick's career. The story of Bessie Costrell. -v. 14. Diana Mallory. -v. 15. Daphne. Candian born. -v. 16. The case of Richard Meynell.",,,,,31232580.0,enk,8884082,1,1.0,1.0,v.8,8.0,The writings of Mrs. Humphry Ward.,"Sir George Tressady, Miss Bretherton",True,"Sir George Tressady, Miss Bretherton",0.2978687279238523,0.0035211230546599,Mary,f,15.475,35.15846590909091,30.306306306306308,37.05932959987015,315.2162162162162,4979.4712685658615,1.7,['unknown'],['unknown']
njp.32101067487205,"Mrs., Ward, Humphry","Ward, Mary Augusta",1851-1920.,1911.0,1911.0,m,1911,1912,"London;John Murray;1911-1912;(Cambridge, Massachussetts;Riverside Press)",1911-1912,"Westmoreland ed.|v. 1.-2. Robert Elsmere. -v. 3.-4. The history of David Grieve. - v. 5.-6. Marcella. -v. 7. Sir George Tressady. -v. 8. Sir George Tressady, Miss Bretherton. -v. 9. Helbeck of Bannisdale. -v. 10. Eleanor. -v. 11. Lady Rose's daughter. -v. 12. The marriage of William Ashe. -v. 13. Fenwick's career. The story of Bessie Costrell. -v. 14. Diana Mallory. -v. 15. Daphne. Candian born. -v. 16. The case of Richard Meynell.",,,,,31232580.0,enk,8884082,1,1.0,1.0,v. 13,13.0,The writings of Mrs. Humphry Ward.,Fenwick's career. The story of Bessie Costrell,True,Fenwick's career. The story of Bessie Costrell,0.1663459681947524,0.0028522644100955,Mary,f,17.811715481171547,40.32019747553439,28.95112016293279,54.250156586375525,302.5295315682281,6933.927335625785,1.5,['unknown'],['unknown']
njp.32101018059756,"Mrs., Ward, Humphry","Ward, Mary Augusta",1851-1920.,1911.0,1911.0,m,1911,1912,"London;John Murray;1911-1912;(Cambridge, Massachussetts;Riverside Press)",1911-1912,"Westmoreland ed.|v. 1.-2. Robert Elsmere. -v. 3.-4. The history of David Grieve. - v. 5.-6. Marcella. -v. 7. Sir George Tressady. -v. 8. Sir George Tressady, Miss Bretherton. -v. 9. Helbeck of Bannisdale. -v. 10. Eleanor. -v. 11. Lady Rose's daughter. -v. 12. The marriage of William Ashe. -v. 13. Fenwick's career. The story of Bessie Costrell. -v. 14. Diana Mallory. -v. 15. Daphne. Candian born. -v. 16. The case of Richard Meynell.",,,,,31232580.0,enk,8884082,1,1.0,1.0,v.15,15.0,The writings of Mrs. Humphry Ward.,Daphne. Candian born,True,Daphne. Candian born,0.1258860193171389,0.0012863844774211,Mary,f,17.87184115523466,42.02148144769252,29.53886925795053,45.80679306771217,302.886925795053,5656.132090549265,2.1,['unknown'],['unknown']
njp.32101075373223,"graf, Tolstoy, Leo","Tolstoy, Leo, graf",1828-1910.,1911.0,1910.0,s,1911,    ,London;Dent;New York;Dutton;1911,1911,I. Before Tilsit.--II. The invasion.--III. The French at Moscow.,,,,PZ3.T588W,3676875.0,enk,8895020,1,3.0,3.0,v.1,1.0,"War & peace, | $c: by Count Leo N. Tolstoi.",Before Tilsit,True,Before Tilsit,0.0643137531800859,0.0058919310107026,Leo,m,22.54952830188679,48.879622419010325,41.40877598152425,40.64352575351088,491.2517321016167,7626.456261434003,1.4,['fiction'],['fiction and juvenile belles lettres']
njp.32101046804413,"graf, Tolstoy, Leo","Tolstoy, Leo, graf",1828-1910.,1911.0,1910.0,s,1911,    ,London;Dent;New York;Dutton;1911,1911,I. Before Tilsit.--II. The invasion.--III. The French at Moscow.,,,,PZ3.T588W,3676875.0,enk,8895020,1,2.0,2.0,v.2,2.0,"War & peace, | $c: by Count Leo N. Tolstoi.",The invasion,True,The invasion,0.0626624184273629,0.0061482811356933,Leo,m,19.8503937007874,61.14034761402856,41.79274611398964,158.91041370238128,483.26683937823833,9247.858848559694,5.2,['fiction'],['fiction and juvenile belles lettres']
njp.32101075373231,"graf, Tolstoy, Leo","Tolstoy, Leo, graf",1828-1910.,1911.0,1910.0,s,1911,    ,London;Dent;New York;Dutton;1911,1911,I. Before Tilsit.--II. The invasion.--III. The French at Moscow.,,,,PZ3.T588W,3676875.0,enk,8895020,1,1.0,1.0,v.3,3.0,"War & peace, | $c: by Count Leo N. Tolstoi.",The French at Moscow,True,The French at Moscow,0.2824640717373733,0.0035454144683501,Leo,m,20.23076923076923,59.74674556213018,41.4195652173913,29.37831285444233,491.7152173913044,5945.368898865784,2.3,['fiction'],['fiction and juvenile belles lettres']
njp.32101059084226,"Wright, Sidney Harry","Wright, Sidney Harry",,1911.0,1911.0,s,1911,    ,London;Seeley;1911.,1911,,,Indians of South America|Indians of North America,,,2220859.0,enk,8910677,1,1.0,1.0,,,Adventures among the red Indians : | romantic incidents and perils amongst the Indians of North and South America / | $c: by H. W. G. Hyrst [pseud.].,,True,Adventures among the red Indians : romantic incidents and perils amongst the Indians of North and South America,0.3256455307386197,0.017586097797686,Sidney,m,10.57703081232493,21.52137717832231,29.332409972299168,56.238534081230206,291.612188365651,6621.888383299698,2.3,['unknown'],['unknown']
njp.32101063694812,"Fraser, Duncan","Fraser, Duncan",,1911.0,1911.0,s,1911,    ,Edinburgh;Andrew Baxendine;1911.,1911,,,Fishing,,,20499835.0,stk,8917625,1,1.0,1.0,,,Angling sketches from a wayside inn / | $c: by Duncan Fraser ; with eight original drawings by Wilson Cowan.,,True,Angling sketches from a wayside inn,0.5223833341550389,0.0134418972655424,Duncan,m,7.161702127659575,8.118533272974195,21.65573770491803,36.70935232464392,194.75819672131144,4025.125957403924,1.8,['unknown'],['unknown']
njp.32101064787276,"Bayley, Stanhope","Bayley, Stanhope",,1911.0,1911.0,s,1911,    ,London;E. Mathews;1911.,1911,,,,,,37316804.0,enk,8921409,1,1.0,1.0,,,A singer of dreams; | voices of moods and of places.,,True,A singer of dreams; voices of moods and of places,0.0697126754150708,0.0580740074285703,Stanhope,unknown,7.435483870967742,240.63293444328824,20.761904761904763,94.81632653061224,203.52380952380952,11428.535147392293,3.0,['unknown'],['unknown']
njp.32101067471506,"Kraszewski, Józef Ignacy","Kraszewski, Józef Ignacy",1812-1887.,1911.0,1887.0,s,1911,    ,London;Greening;1911.,1911,,,"Brühl, Heinrich|1700-1763|Reichsgraf von",,,10225287.0,enk,8957868,1,1.0,1.0,,,Count Brühl : | a romance of history / | $c: by Joseph Kraszewski ; translated by the Count de Soissons.,,True,Count Brühl : a romance of history,0.0414319731987618,0.0636589631564418,Jzef,unknown,19.49843260188088,50.16222324859229,33.30030959752322,30.21631569362306,315.73993808049534,3610.712553556538,1.6,['fiction'],['unknown']
njp.32101067644391,"Figgis, Darrell","Figgis, Darrell",1882-1925.,1911.0,1911.0,s,1911,    ,London;Dent;1911.,1911,,,,,,5089858.0,enk,8961886,1,3.0,3.0,,,Broken arcs / | $c: by Darrell Figgis.,,True,Broken arcs,0.0345455705500342,0.0100820189057504,Darrell,m,22.85081585081585,44.71434082622894,34.22222222222222,17.973765432098762,340.4953703703704,2884.5231267146773,2.8,['fiction'],['unknown']
njp.32101068609922,"graf, Tolstoy, Leo","Tolstoy, Leo, graf",1828-1910.,1911.0,1910.0,s,1911,    ,London;Constable;1911.,1911,"Polikoúshka; or, In the days of serfdom.--A prayer.--Kornéy Vasílyef.--Strawberries.--Why?--God's way and Man's.",,,,,2480078.0,enk,8973985,1,1.0,1.0,,,In the days of serfdom and other stories / | $c: by Leo Tolstoy ; translated by L. & A. Maude.,,True,In the days of serfdom and other stories,0.2290327409306962,0.0142469738855794,Leo,m,13.234527687296415,25.58017591698586,26.258899676375403,11.997695876666564,243.9514563106796,1654.272724416376,1.8,['fiction'],['unknown']
uc1.$b374284,"Takizawa, Bakin","Takizawa, Bakin",1767-1848.,1911.0,1848.0,s,1911,    ,London;Gowans and Gray;1911.,1911,2nd ed.,,,,,17832957.0,enk,9261089,2,2.0,2.0,,,A captive of love : | a romance from the original Japanese of Kyokutei Bakin / | $c: by Edward Greey.,,False,A captive of love : a romance from the original Japanese of Kyokutei Bakin,0.4871651042846034,0.6866453765608517,Bakin,unknown,31.5,214.66666666666663,91.9430894308943,566.2650538700508,629.6585365853658,21448.14356533809,3.2,['fiction'],['unknown']
