docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob	first_name	estimated_gender
uiuo.ark+=13960=t59c7hc2h	Nicholson, Jessie L	Nicholson, Jessie L		1897.0	1897.0	s	1897	    	London;Hurst and Blackett;1897.	1897						22539416.0	enk	8717983	1	1.0	1.0	v.1	1.0	After long waiting		True	After long waiting	0.0153888468188678	0.4974934305122157	Jessie	f
uiuo.ark+=13960=t5bc3x12s	Sienkiewicz, Henryk	Sienkiewicz, Henryk	1846-1916.	1897.0	1896.0	r	1897	1896	London;Dent;1897.	1897			Church history|Nero, 54-68|Primitive and early church, ca. 30-600|Rome|History|History			5369265.0	enk	8722636	1	3.0	1.0			Quo vadis		True	Quo vadis	0.4174987780209526	0.0239378677753424	Henryk	m
uiuo.ark+=13960=t4sj1vk59	Gissing, Algernon	Gissing, Algernon	1860-1937.	1897.0	1897.0	s	1897	    	London;Hutchinson;1897.	1897			823G435SC			9149819.0	enk	8723072	1	1.0	1.0	v.1	1.0	The scholar of Bygate		True	The scholar of Bygate	0.0283967501732091	0.0032657728705562	Algernon	unknown
njp.32101038029524	Homer, A. N	Homer, A. N		1897.0	1897.0	s	1897	    	London;Sampson;1897.	1897						12755601.0	enk	8889078	1	1.0	1.0			Hernani, the Jew; | a story of Russian oppression.		True	Hernani, the Jew; a story of Russian oppression	0.0625439882112312	0.0128838469294802	A	unknown
njp.32101042002202	Shakespeare, William	Shakespeare, William	1564-1616.	1897.0	1616.0	s	1897	    	London;Kegan Paul, Trench, Tr?_bner & Co.;1897.	1897	Avon ed.					45579824.0	enk	8890554	1	1.0	1.0	v.1	1.0	The works of William Shakspere.		False	The works of William Shakspere	0.5397984879255654	0.1580932525491974	William	m
njp.32101063577256	Couperus, Louis	Couperus, Louis	1863-1923.	1897.0	1897.0	s	1897	    	London;Henry & Co.;1897?	1897						16078777.0	enk	8916434	1	1.0	1.0			Ecstasy: a study of happiness, | $c: tr. from the Dutch by A. Teixeira de Mattos and John Gray.		True	Ecstasy: a study of happiness	0.0339364065173495	0.0387502547196021	Louis	m
njp.32101063577942	Ibsen, Henrik	Ibsen, Henrik	1828-1906.	1897.0	1897.0	s	1897	    	London;William Heinemann;1897.	1897						13725349.0	enk	8916487	1	1.0	1.0			John Gabriel Borkman / | $c: by Henrik Ibsen. Translated from the Norwegian by William Archer.		True	John Gabriel Borkman	0.5996612896240533	0.0019952527277276	Henrik	m
njp.32101067175636	Shelley, Percy Bysshe	Shelley, Percy Bysshe	1792-1822.	1897.0	1822.0	s	1897	    	London;Chatto and Windus;1897.	1897						46405997.0	enk	8956221	1	1.0	1.0	vol.1	1.0	The prose works of Percy Bysshe Shelley : | from the original editions / | $c: edited, prefaced, and annotated by Richard Herne Shepherd.		False	The prose works of Percy Bysshe Shelley : from the original editions	0.3872602126405531	0.0094699492691175	Percy	m
njp.32101068178761	Herman, Henry	Herman, Henry	1832-1894.	1897.0	1894.0	s	1897	    	London;Ward Lock;1897?	1897						22423349.0	enk	8969156	1	1.0	1.0			Lady Turpin.		True	Lady Turpin	0.0366530001956838	0.0202297490945147	Henry	m
njp.32101068574001	Luce, Morton	Luce, Morton	1849-	1897.0	1897.0	s	1897	    	London;G. Bell and sons;1897.	1897						5529030.0	enk	8972344	1	1.0	1.0			A handbook to the works of Alfred lord Tennyson, | $c: by Morton Luce ...		True	A handbook to the works of Alfred lord Tennyson	0.9831745163658212	0.2278789947271397	Morton	m
wu.89087922761	Baring-Gould, S. (Sabine)	Baring-Gould, S. (Sabine)	1834-1924.	1897.0	1897.0	s	1897	    	London;Smith, Elder, & Co.;1897.	1897	A new ed.					53703748.0	enk	8995095	1	3.0	1.0			Mehalah : | a story of the salt marshes / | $c: by the author of 'John Herring,' 'Court Royal' &c.		True	Mehalah : a story of the salt marshes	0.132921147278649	0.0152445965896098	Sabine	f
wu.89087903571	Baring-Gould, S. (Sabine)	Baring-Gould, S. (Sabine)	1834-1924.	1897.0	1897.0	s	1897	    	London;Methuen;1897.	1897	5th ed.					53703753.0	enk	8995099	1	1.0	1.0			Urith : | a tale of Dartmoor.		True	Urith : a tale of Dartmoor	0.0784370348448835	0.0494900244848737	Sabine	f
uc2.ark+=13960=t5r788w3v	Corelli, Marie	Corelli, Marie	1855-1924.	1897.0	1897.0	s	1897	    	London;Hutchinson;1897.	1897						3909152.0	enk	9262362	1	1.0	1.0			Jane		True	Jane	0.0336965304536935	0.0090278455945142	Marie	f
njp.32101075891406				1897.0	1897.0	s	1897	    	London;H.S. Nichols;1897.	1897	Library ed.					5974785.0	enk	9361938	1	1.0	1.0	v. 1	1.0	The book of the thousand nights and a night / | $c: translated from the Arabic by R. F. Burton ; reprinted from the original ed. and edited by Leonard C. Smithers ; illustrated by Albert Letchford.		True	The book of the thousand nights and a night	0.2313790171036433	0.4664666932927311		unknown
uc1.$b358727	Boothby, Guy Newell	Boothby, Guy Newell	1867-1905.	1897.0	1897.0	s	1897	    	London;Ward, Lock;1897?	1897						2878677.0	enk	9478356	1	1.0	1.0			Bushigrams, | $c: by Guy Boothby.		True	Bushigrams	0.6487586613895128	0.0011391106497392	Guy	m
uva.x000104778	Rabelais, François	Rabelais, François	approximately 1490-1553?	1897.0	1897.0	s	1897	    	London;Gibbings;1897.	1897	Book 1. The inestimable life of the great Garguantua, father of Pantagruel -- Book 2. Pantagruel, King of the Dipsodes, with his heroic acts and prowesses-- Book 3. The heroic deeds and sayings of the good Pantagruel, King of the Dipsodes -- Book 4. The fourth book of the heroic deeds and saying of the good Pantagruel, his voyages and wonders -- Book 5. The fifth and last book of the heroic deeds and sayings of the good Pantagruel, his visit to the Oracle.					1740993.0	enk	9780016	1	1.0	1.0	V.2	2.0	The works of François Rabelais / | $c: translated by Sir Thomas Urquhart and Peter Motteux ; with the notes of Duchat, Ozell, and others ; introd. and revision by Alfred Wallis.	Pantagruel, King of the Dipsodes, with his heroic acts and prowesses-- Book	True	Pantagruel, King of the Dipsodes, with his heroic acts and prowesses-- Book	0.6949326957770516	0.8036392061150285	Franois	unknown
uva.x030564016	Rabelais, François	Rabelais, François	approximately 1490-1553?	1897.0	1897.0	s	1897	    	London;Gibbings;1897.	1897	Book 1. The inestimable life of the great Garguantua, father of Pantagruel -- Book 2. Pantagruel, King of the Dipsodes, with his heroic acts and prowesses-- Book 3. The heroic deeds and sayings of the good Pantagruel, King of the Dipsodes -- Book 4. The fourth book of the heroic deeds and saying of the good Pantagruel, his voyages and wonders -- Book 5. The fifth and last book of the heroic deeds and sayings of the good Pantagruel, his visit to the Oracle.					1740993.0	enk	9780016	1	1.0	1.0	V.4	4.0	The works of François Rabelais / | $c: translated by Sir Thomas Urquhart and Peter Motteux ; with the notes of Duchat, Ozell, and others ; introd. and revision by Alfred Wallis.	The fourth book of the heroic deeds and saying of the good Pantagruel, his voyages and wonders -- Book	True	The fourth book of the heroic deeds and saying of the good Pantagruel, his voyages and wonders -- Book	0.6628119246101718	0.9408244294818552	Franois	unknown
uva.x030564017	Rabelais, François	Rabelais, François	approximately 1490-1553?	1897.0	1897.0	s	1897	    	London;Gibbings;1897.	1897	Book 1. The inestimable life of the great Garguantua, father of Pantagruel -- Book 2. Pantagruel, King of the Dipsodes, with his heroic acts and prowesses-- Book 3. The heroic deeds and sayings of the good Pantagruel, King of the Dipsodes -- Book 4. The fourth book of the heroic deeds and saying of the good Pantagruel, his voyages and wonders -- Book 5. The fifth and last book of the heroic deeds and sayings of the good Pantagruel, his visit to the Oracle.					1740993.0	enk	9780016	1	1.0	1.0	V.5	5.0	The works of François Rabelais / | $c: translated by Sir Thomas Urquhart and Peter Motteux ; with the notes of Duchat, Ozell, and others ; introd. and revision by Alfred Wallis.	The fifth and last book of the heroic deeds and sayings of the good Pantagruel, his visit to the Oracle	True	The fifth and last book of the heroic deeds and sayings of the good Pantagruel, his visit to the Oracle	0.5294751650075121	0.7216795224909275	Franois	unknown
uva.x030809779	Freiherr de, La Motte-Fouqué, Friedrich Heinrich Karl	Freiherr de, La Motte-Fouqué, Friedrich Heinrich Karl	1777-1843.	1897.0	1843.0	s	1897	    	London;Cassell;1897.	1897						24194976.0	enk	9784843	1	1.0	1.0			Undine = | the Two captains.		False	Undine = the Two captains	0.1555890161210633	0.0926937259143649	Friedrich	m
uva.x030832628	Carmichael, Hartley	Carmichael, Hartley	1854-1903.	1897.0	1897.0	s	1897	    	London;Sampson Low, Marston and Co.;1897.	1897						10862354.0	enk	9792992	1	1.0	1.0			The Carstairs of Castle Craig, | a chronicle, edited, from the notes of John Ffoulke Carstairs, | $c: by Hartley Carmichael.		True	The Carstairs of Castle Craig, a chronicle, edited, from the notes of John Ffoulke Carstairs	0.0881364107322604	0.024452842332439	Hartley	unknown
uva.x030788416	Sanders, Ella Katharine	Sanders, Ella Katharine		1897.0	1897.0	s	1897	    	London;Macmillan;1897.	1897						12732416.0	enk	9794765	1	1.0	1.0			For prince & people : | a tale of old Genoa / | $c: by E.K. Sanders.		True	For prince & people : a tale of old Genoa	0.0467766667038471	0.0178646932893341	Ella	f
uc1.$b803912	Stacpoole, H. De Vere (Henry De Vere)	Stacpoole, H. De Vere (Henry De Vere)	1863-1951.	1897.0	1897.0	s	1897	    	London;& New York;John Lane;1897.	1897							enk	9951354	1	1.0	1.0			Death, the knight, and the lady, | a ghost story, | $c: by H. de Vere Stacpoole.		True	Death, the knight, and the lady, a ghost story	0.1576416165034038	0.3266745127161368	Henry	m
uc1.$b710812	Queen, consort of Henry II, King of Navarre, Marguerite	Queen, consort of Henry II, King of Navarre, Marguerite	1492-1549.	1897.0	1549.0	s	1897	    	London;Asher and co.;1897.	1897							enk	9967421	1	1.0	1.0			The mirror of the sinful soul. | A prose translation from the French of a poem by Queen Margaret of Navarre, | $c: made in 1544 by the Princess (afterwards Queen) Elizabeth, then eleven years of age. Ed. by Percy W. Ames.		False	The mirror of the sinful soul. A prose translation from the French of a poem by Queen Margaret of Navarre	0.9412816419246676	0.072748910764165	Consort	unknown
uc1.b4295577	Scott, Hugh Stowell	Scott, Hugh Stowell	1862-1903.	1897.0	1897.0	m	1897	1909	London;Smith, Elder;1897-1909.	1897-1909	Thin paper ed.						enk	10053612	1	1.0	1.0	v.2	2.0	Novels of Henry Seton Merriman [pseud.] ... | $c: with an introd. in the first vol. by E.F.S. and S.G.T.		True	Novels of Henry Seton Merriman [pseud.]	0.1180936197541096	0.000324421115079	Hugh	m
dul1.ark+=13960=t2h713c5c	Griffith, George Chetwynd	Griffith, George Chetwynd		1897.0	1897.0	s	1897	    	London;Simpkin, Marshall, Hamilton, Kent and Co.;1897.	1897			Utopias|Robinson, Ernest|Provenance			22402082.0	enk	10943521	1	1.0	1.0			Olga Romanoff		True	Olga Romanoff	0.2605865715849594	0.0339949049640729	George	m
dul1.ark+=13960=t1rf6fb6d	Rosewater, Frank	Rosewater, Frank	1856-	1897.0	1897.0	s	1897	    	London;New York;F. T. Neely;c1897	1897						6872985.0	enk	10945116	1	1.0	1.0			Utopia		True	Utopia	0.2661208766694999	0.0258155510422688	Frank	m
dul1.ark+=13960=t3vt27q8k	Riddell, J. H	Riddell, J. H., Mrs	1832-1906.	1897.0	1897.0	s	1897	    	London;Downey & Co.;1897.	1897						52175187.0	enk	10945365	1	1.0	1.0			Did he deserve it?		True	Did he deserve it?	0.0851049734149915	0.0727110195148951	J	unknown
